# csv2chart.y-axis=nanoseconds
argument                                ,           divide
839                                     ,           3628.2
840                                     ,           3739.1
841                                     ,           3468.1
842                                     ,           3434.0
843                                     ,           3557.4
844                                     ,           3424.7
845                                     ,           3617.9
846                                     ,           3592.6
847                                     ,           3614.5
848                                     ,           3537.4
849                                     ,           3544.9
850                                     ,           3625.3
851                                     ,           3670.3
852                                     ,           3657.3
853                                     ,           3484.7
854                                     ,           3723.8
855                                     ,           3668.0
856                                     ,           3714.6
857                                     ,           3766.1
858                                     ,           3623.0
859                                     ,           3671.2
860                                     ,           3614.5
861                                     ,           3762.3
862                                     ,           3649.1
863                                     ,           3691.0
864                                     ,           3524.4
865                                     ,           3500.9
866                                     ,           3787.5
867                                     ,           3616.4
868                                     ,           3614.5
869                                     ,           3623.4
870                                     ,           3766.7
871                                     ,           3730.4
872                                     ,           3563.7
873                                     ,           3851.0
874                                     ,           3762.3
875                                     ,           3846.7
876                                     ,           3723.3
877                                     ,           3573.2
878                                     ,           3785.3
879                                     ,           3901.0
880                                     ,           3851.3
881                                     ,           3703.4
882                                     ,           3875.2
883                                     ,           3816.8
884                                     ,           3902.9
885                                     ,           3960.8
886                                     ,           3738.7
887                                     ,           3949.8
888                                     ,           4104.1
889                                     ,           3889.5
890                                     ,           3918.0
891                                     ,           4031.9
892                                     ,           3895.8
893                                     ,           4072.2
894                                     ,           4110.2
895                                     ,           4020.7
896                                     ,           3703.0
897                                     ,           3446.0
898                                     ,           3780.2
899                                     ,           3939.5
900                                     ,           3538.4
901                                     ,           3906.4
902                                     ,           3802.5
903                                     ,           3826.5
904                                     ,           3714.9
905                                     ,           3836.7
906                                     ,           3898.3
907                                     ,           3776.7
908                                     ,           4046.5
909                                     ,           3930.7
910                                     ,           4029.2
911                                     ,           3878.0
912                                     ,           3967.8
913                                     ,           3932.1
914                                     ,           3774.6
915                                     ,           4275.6
916                                     ,           4247.2
917                                     ,           4198.2
918                                     ,           4244.1
919                                     ,           4428.7
920                                     ,           4161.0
921                                     ,           3994.1
922                                     ,           3982.5
923                                     ,           4069.8
924                                     ,           4182.9
925                                     ,           4145.8
926                                     ,           4141.0
927                                     ,           4244.9
928                                     ,           4110.3
929                                     ,           4216.5
930                                     ,           4169.7
931                                     ,           4014.6
932                                     ,           4683.3
933                                     ,           4206.8
934                                     ,           4117.4
935                                     ,           4214.9
936                                     ,           4219.9
937                                     ,           4340.9
938                                     ,           4141.8
939                                     ,           4559.6
940                                     ,           4499.5
941                                     ,           4224.2
942                                     ,           4346.5
943                                     ,           4340.9
944                                     ,           4443.2
945                                     ,           4261.9
946                                     ,           4413.8
947                                     ,           4324.3
948                                     ,           4420.9
949                                     ,           4591.9
950                                     ,           4315.8
951                                     ,           4372.4
952                                     ,           4191.6
953                                     ,           4378.2
954                                     ,           4474.1
955                                     ,           4483.3
956                                     ,           4546.7
957                                     ,           4639.4
958                                     ,           4778.3
959                                     ,           4592.5
960                                     ,           4227.2
961                                     ,           4194.3
962                                     ,           4312.5
963                                     ,           4545.2
964                                     ,           4360.4
965                                     ,           4432.3
966                                     ,           4334.9
967                                     ,           4303.9
968                                     ,           4398.2
969                                     ,           4283.3
970                                     ,           4400.2
971                                     ,           4516.2
972                                     ,           4329.3
973                                     ,           4371.7
974                                     ,           4534.7
975                                     ,           4537.5
976                                     ,           4390.7
977                                     ,           4284.8
978                                     ,           4471.6
979                                     ,           4495.4
980                                     ,           4427.9
981                                     ,           4486.1
982                                     ,           4699.4
983                                     ,           4780.9
984                                     ,           4903.8
985                                     ,           4726.2
986                                     ,           4689.3
987                                     ,           4551.0
988                                     ,           4785.0
989                                     ,           4708.9
990                                     ,           4653.8
991                                     ,           4963.5
992                                     ,           5272.8
993                                     ,           4670.5
994                                     ,           4539.7
995                                     ,           4722.9
996                                     ,           4819.8
997                                     ,           5050.6
998                                     ,           4907.3
999                                     ,           5047.6
